Facility Name:,County,Adult Dogs: In Shelter Count as of  1/1/2018,Adult Dogs: In Foster Care Count 1/1/2018,Adult Dogs: Stray,Adult Dogs: Owner Relinquished,Adult Dogs: Owner Requested Euthanasia upon intake,Adult Dogs: Transfer in from another Colorado organization  ,Adult Dogs: Transfer in from Out of State organization,Adult Dogs: Other: TNR/Protective Custody/Returns/Disaster Relief,Adult Dogs: Adoption,Adult Dogs: Returned To Owner (RTO),Adult Dogs: Transferred out to another Colorado organization,Adult Dogs: Transferred to an Out of State organization,Adult Dogs: Other live outcomes (ie: TNR/SNR),Adult Dogs: Died,Adult Dogs: Missing/Stolen,Adult Dogs: Shelter Euthanasia ,Adult Dogs: Owner Requested Euthanasia,Adult Dogs: In Shelter Count as of 12/31/2018,Adult Dogs: In Foster Care Count 12/31/2018,Juvenile Dogs: In Shelter Count as of 1/1/2018,Juvenile Dogs: In Foster Care Count 1/1/2018,Juvenile Dogs: Stray,Juvenile Dogs: Owner Relinquished ,Juvenile Dogs: Owner Requested Euthanasia upon intake,Juvenile Dogs: Transfer in from another Colorado organization,Juvenile Dogs: Transfer in from Out of State organization,Juvenile Dogs: Other: TNR/Protective Custody/Returns/Disaster relief,Juvenile Dogs: Adoption ,Juvenile Dogs: Returned To Owner (RTO),Juvenile Dogs: Transferred out to another Colorado organization,Juvenile Dogs: Transferred to an Out of State organization,Juvenile Dogs: Other live outcomes (ie TNR/SNR),Juvenile Dogs: Died,Juvenile Dogs: Missing/Stolen,Juvenile Dogs: Shelter Euthanasia,Juvenile Dogs: Owner Requested Euthanasia,Juvenile Dogs: In Shelter Count as of 12/31/2018,Juvenile Dogs: In Foster Care Count 12/31/2018,Adult Cats: In Shelter Count as of 1/1/2018,Adult Cats: In Foster Care Count 1/1/2018,Adult Cats: Stray,Adult Cats: Owner Relinquished,Adult Cats: Owner Requested Euthanasia upon intake,Adult Cats: Transfer in from another Colorado organization,Adult Cats: Transfer in from Out of State organization,Adult Cats: Other: TNR/Protective Custody/Returns/Disaster Relief,Adult Cats: Adoption,Adult Cats: Returned To Owner (RTO),Adult Cats: Transferred out to another Colorado organization,Adult Cats: Transferred to an Out of State organization,Adult Cats: Other live outcomes (ie: TNR/SNR),Adult Cats: Died,Adult Cats: Missing / Stolen,Adult Cats: Shelter Euthanasia,Adult Cats: Owner Requested Euthanasia ,Adult Cats: In Shelter Count as of 12/31/2018,Adult Cats: In Foster Care Count 12/31/2018,Juvenile Cats: In Shelter Count as of 1/1/2018,Juvenile Cats: In Foster Care Count 1/1/2018,Juvenile Cats: Stray ,Juvenile Cats: Owner Relinquished,Juvenile Cats: Owner Requested Euthanasia upon intake,Juvenile Cats: Transfer in from another Colorado organization,Juvenile Cats: Transfer in from Out of State organization,Juvenile Cats: Other: TNR/Protective Custody/Returns/Disaster Relief,Juvenile Cats: Adoption ,Juvenile Cats: Returned To Owner (RTO),Juvenile Cats: Transferred out to another Colorado organization,Juvenile Cats: Transferred to an Out of State organization,Juvenile Cats: Other Live Outcomes (ie: TNR/SNR),Juvenile Cats: Died ,Juvenile Cats: Missing/Stolen,Juvenile Cats: Shelter Euthanasia,Juvenile Cats: Owner Requested Euthanasia ,Juvenile Cats: In Shelter Count as of 12/31/2018,Juvenile Cats: In Foster Care Count 12/31/2018,Birds: In Shelter Count as of 1/1/2018,Birds: In Foster Care Count 1/1/2018,Birds: Stray,Birds: Owner Relinquished,Birds: Owner Requested Euthanasia upon intake,Birds: Transfer in from another Colorado organization,Birds: Transfer in from Out of State organization,Birds: Other: TNR/Protective Custody/Returns/Disaster Relief,Birds: Adoption,Birds: Returned To Owner (RTO),Birds: Transferred out to another Colorado organization,Birds: Transferred to an Out of State organization,Birds: Other Live Outcomes (ie: TNR/SNR),Birds: Died,Birds: Missing/Stolen ,Birds: Shelter Euthanasia,Birds: Owner Requested Euthanasia,Birds: In Shelter Count as of 12/31/2018,Birds: In Foster Care Count 12/31/2018,Small Mammal: In Shelter Count as of 1/1/2018,Small Mammal: In Foster Care Count 1/1/2018,Sm Mammal: Stray,Sm Mammal: Owner Relinquished,Sm Mammal: Owner Requested Euthanasia upon intake,Sm Mammal: Transfer in from another Colorado organization,Sm Mammal: Transfer in from Out of State organization,Sm Mammal: Other: TNR/Protective Custody/Returns/Disaster Relief,Sm Mammal: Adoption,Sm Mammal: Returned To Owner (RTO),Sm Mammal: Transferred out to another Colorado organization,Sm Mammal: Transferred to an Out of State organization,Sm Mammal: Other Live Outcomes (ie: TNR/SNR),Sm Mammal: Died,Sm Mammal: Missing/Stolen ,Sm Mammal: Shelter Euthanasia,Sm Mammal: Owner Requested Euthanasia,Sm Mammal: In Shelter Count as of 12/31/2018,Sm Mammal: In Foster Care Count as of 12/31/2018,Reptiles & Amphibians: In Shelter Count as of 1/1/2018,Reptiles & Amphibians: In Foster Care Count 1/1/2018,Reptiles & Amphibians: Stray,Reptiles & Amphibians: Owner Relinquished,Reptiles & Amphibians: Owner Requested Euthanasia upon intake,Reptiles & Amphibians: Transfer in from another Colorado organization,Reptiles & Amphibians: Transfer in from Out of State organization,Reptiles & Amphibians: Other: TNR/Protective Custody/Returns/Disaster Relief,Reptiles & Amphibians: Adoption,Reptiles & Amphibians: Returned To Owner (RTO),Reptiles & Amphibians: Transferred out to another Colorado organization,Reptiles & Amphibians: Transferred to an Out of State organization,Reptiles & Amphibians: Other Live Outcomes (ie: TNR/SNR),Reptiles & Amphibians: Died,Reptiles & Amphibians: Missing/Stolen ,Reptiles & Amphibians: Shelter Euthanasia,Reptiles & Amphibians: Owner Requested Euthanasia,Reptiles & Amphibians: In Shelter Count as of 12/31/2018,Reptiles & Amphibians: In Foster Care Count as of 12/31/2018,Rabbits: In Shelter Count as of 1/1/2018,Rabbits: In Foster Care Count 1/1/2018,Rabbits: Stray,Rabbits: Owner Relinquished,Rabbits: Owner Requested Euthanasia upon intake,Rabbits: Transfer in from another Colorado organization,Rabbits: Transfer in from Out of State organization,Rabbits: Other: TNR/Protective Custody/Returns/Disaster Relief,Rabbits: Adoption,Rabbits: Returned To Owner (RTO),Rabbits: Transferred out to another Colorado organization,Rabbits: Transferred to an Out of State organization,Rabbits: Other Live Outcomes (ie: TNR/SNR),Rabbits: Died,Rabbits: Missing / Stolen ,Rabbits: Shelter Euthanasia,Rabbits: Owner Requested Euthanasia,Rabbits: In Shelter Count as of 12/31/2018,Rabbits: In Foster Care Count as of 12/31/2018,Other: In Shelter Count as of 1/1/2018,Other: In Foster Care Count 1/1/2018,Other: Stray,Other: Owner Relinquished,Other: Owner Requested Euthanasia upon intake,Other: Transfer in from another Colorado organization,Other: Transfer in from Out of State organization,Other: TNR/Protective Custody/Returns/Disaster Relief,Other: Adoption,Other: Returned To Owner (RTO),Other: Transferred out to another Colorado organization,Other: Transferred to an Out of State organization,Other: Other Live Outcomes (ie: TNR/SNR),Other: Died,Other: Missing / Stolen ,Other: Shelter Euthanasia,Other: Owner Requested Euthanasia,Other: In Shelter Count as of 12/31/2018,Other: In Foster Care Count as of 12/31/2018
Animal Rescue of the Rockies,Mesa County,0,33,2,5,0,22,150,32,220,1,2,0,0,4,0,0,0,0,17,0,15,1,2,0,9,30,0,45,0,0,0,0,0,0,0,0,0,12,0,4,130,3,0,163,135,48,462,0,0,0,0,4,0,0,0,0,17,0,59,243,0,0,212,372,12,786,0,0,0,0,8,0,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Rescue of the Rockies Cat Casita,Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,9,6,0,22,4,0,39,1,0,0,0,0,0,0,0,0,12,0,0,16,0,0,9,0,0,25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Welfare & Protection Society,Pueblo County,45,5,261,235,0,18,20,57,471,101,16,0,0,5,1,2,0,41,4,0,0,20,134,0,0,0,1,145,6,0,0,0,3,0,0,0,1,0,22,0,23,89,0,0,0,6,109,0,0,0,0,0,0,0,0,31,0,5,0,22,44,0,3,0,3,68,0,0,0,0,2,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNIES ORPHANS,La Plata County,56,,5,20,,2,12,,36,2,1,1,,5,,,,50,,0,,,,,,9,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ark-Valley Humane Society, Inc, Buena Vista",Chaffee County,17,0,219,92,0,48,5,9,175,188,3,0,6,1,0,2,0,14,0,0,0,8,10,0,1,3,0,19,2,0,0,0,2,0,0,0,0,0,10,0,67,89,0,36,0,7,171,15,14,0,6,1,0,0,0,3,0,0,0,71,52,0,1,0,5,115,0,3,0,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ark-Valley Humane Society, Inc, Salida",Chaffee County,0,0,36,0,0,0,0,0,1,14,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASPEN/ PITKIN COUNTY ANIMAL SHELTER *, SACHSON, INC *",Pitkin County,17,0,96,68,0,61,15,10,149,104,0,0,0,0,0,4,0,17,0,9,0,0,11,0,19,11,0,37,1,0,0,0,0,0,0,0,5,0,5,0,6,17,0,3,11,0,32,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Animal Shelter,Adams County,43,1,1374,170,59,17,,229,460,1053,151,1,5,4,0,206,58,49,2,4,0,57,7,1,2,8,20,62,22,6,0,1,2,0,0,1,10,1,10,0,195,72,28,38,5,110,207,82,70,0,4,3,3,62,28,30,0,5,1,159,8,0,22,2,32,135,10,37,0,1,23,0,26,0,0,,1,0,22,4,0,0,0,6,8,4,12,0,1,1,0,5,0,2,0,1,0,5,8,1,0,0,3,1,3,2,0,2,0,0,2,1,7,0,0,0,6,0,0,0,0,6,2,3,5,0,0,0,0,0,0,2,0,2,0,13,4,1,3,0,1,15,0,0,0,0,3,0,3,,2,0,0,0,6,2,0,0,0,66,13,5,0,0,0,12,0,0,0,44,0
Australian Shepherds Furever,Chaffee County,,3,0,4,0,1,6,0,10,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWR Cat Tails Rescue Inc.,Pueblo County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,28,0,0,14,0,23,0,0,0,0,22,0,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwater Cats Rescue Organization,Denver County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAR CREEK ANIMAL HOSPITAL,Moffat County,3,0,250,30,0,0,0,0,69,187,24,0,0,0,0,0,0,3,0,0,0,20,3,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,4,0,89,11,0,0,0,0,35,14,29,0,0,2,0,20,0,4,0,0,0,71,0,0,0,0,0,39,3,9,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beasties LLC,Pueblo County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,15,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bernese Mountain Dog Club of the Rockies,Douglas County,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Bones Canine Rescue Service, Inc.",Weld County,21,41,2,104,0,30,682,0,790,0,2,0,0,2,0,13,0,23,50,0,44,2,11,0,22,643,0,657,0,0,0,0,11,0,3,0,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Dogs Huge Paws, Inc",Douglas County,0,33,4,114,0,27,85,0,215,0,0,0,0,4,0,12,0,0,32,0,0,0,20,0,2,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Forest Animal Sanctuary DBA:Paws N Hooves DBA:Southern CO Animal Rescue,El Paso County,0,7,0,3,0,0,58,0,57,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,38,6,30,0,0,0,6,2,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,0,17,0,0,0,0,8,0,0,0,0,7,0,0,0,0,45
Blue Lion Rescue,El Paso County,65,0,0,40,0,15,3,0,16,0,3,0,0,3,0,8,0,93,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounce Animal Rescue,Larimer County,0,29,0,19,0,3,218,0,222,0,0,0,0,2,0,23,0,0,22,0,32,0,0,0,0,565,99,633,0,0,0,0,6,0,11,0,0,46,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breeder Release Adoption Service,Las Animas County,39,12,0,0,0,0,313,0,324,0,,0,0,7,0,0,0,22,11,0,0,0,0,0,0,73,0,73,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighter Days Dog Rescue,Boulder County,0,11,0,2,0,0,105,0,106,0,0,0,0,1,0,0,0,0,11,0,40,0,0,0,12,375,0,387,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadview Kennels & Grooming & Blue Moon Akita Rescue,Arapahoe County,16,0,0,11,0,1,1,0,13,0,0,0,1,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buck'n-R-Ranch Animal Rescue, Inc",Douglas County,3,,,,,,20,,9,,,,,,,,,9,5,0,,,,,,49,,32,,,,,,,,,17,,0,,,,,,4,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4,,1,4,,,,,5,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,2,28,,,,,16,,,,,3,,1,,41,
CACF,Park County,0,1,8,1,0,0,68,0,65,0,6,0,0,0,0,0,0,0,7,0,1,0,0,0,0,141,92,188,0,12,0,0,20,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canine Candor, Inc.",Weld County,,3,,15,,6,5,,27,,,,,,,1,,,1,,0,,7,,14,,,19,,,,,,,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Care Society,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,74,58,1,30,15,72,190,19,1,0,12,3,0,8,0,68,3,0,4,183,21,0,106,0,31,293,2,0,0,4,21,0,3,0,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats Alive,Alamosa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,24,0,0,0,68,0,7,19,0,61,0,0,2,0,0,8,0,0,0,15,0,0,0,5,0,0,9,0,5,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats League and Assistance of the Western Slope,Mesa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,58,266,102,0,13,35,59,326,0,0,0,7,40,0,4,0,242,70,1,20,280,103,0,1,42,1,240,0,0,0,0,10,0,0,0,0,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavalier King Charles Spaniel Club Rescue, Inc. ",Arapahoe County,0,3,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavy Care Inc.,Arapahoe County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,160,0,15,8,0,179,0,0,0,0,4,0,0,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayleb's Kindred Senior Dog Rescue,Denver County,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,,,,,,,,,,,,,,,,,,,,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chihuahua & Small Dog Rescue, Inc.",El Paso County,,18,,,,108,69,,157,,3,,,,,,,,35,,31,,,,,10,,32,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chow Down Pet Supplies,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,22,18,0,26,2,,71,0,0,0,0,0,0,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle 2 Ranch - An Animal Sanctuary,Jefferson County,,22,2,,,,212,,223,,,,,1,,,,,12,,12,29,,,,172,,186,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Aurora Animal Shelter,Adams County,43,1,1374,170,59,17,26,229,460,1053,81,1,5,4,0,206,58,49,2,4,0,57,7,1,2,8,20,62,22,0,0,1,2,0,0,1,10,1,10,0,195,72,28,38,5,110,207,82,39,0,4,3,3,62,28,30,0,5,1,159,8,0,22,2,32,135,10,33,0,1,23,0,26,0,0,1,1,0,22,4,0,0,0,6,8,4,12,0,1,1,0,5,0,2,0,1,0,5,8,1,0,0,3,1,3,2,0,2,0,0,2,1,7,0,0,0,6,0,0,0,0,6,2,3,5,0,0,0,0,0,0,2,,2,0,13,4,1,3,0,1,15,0,0,0,0,3,0,3,1,2,0,0,0,6,2,0,0,0,66,13,5,0,0,0,12,0,0,0,44,0
City of Brush Animal Shelter,Morgan County,0,0,97,5,0,61,0,0,14,106,40,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,2,3,14,0,0,3,2,1,0,1,0,0,0,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
City of Burlington Animal Shelter,Kit Carson County,3,0,79,,0,0,0,1,0,64,18,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Cortez Animal Shelter,Montezuma County,12,0,335,101,0,0,0,2,79,212,61,0,0,0,0,86,0,5,0,0,0,49,67,0,0,0,0,35,13,52,0,0,0,0,16,0,8,0,5,0,77,187,0,4,0,0,82,14,60,0,0,0,0,112,0,4,0,0,0,34,224,0,0,0,0,91,0,81,0,0,0,0,86,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
